Id,ORGANIZATION,NAME,GENDER,SPECIALITY,ADDRESS,CITY,STATE,ZIP,LAT,LON,UTILIZATION
3421aa75-dec7-378d-a9e0-0bc764e4cb0d,ef58ea08-d883-3957-8300-150554edc8fb,Tomas436 Sauer652,M,GENERAL PRACTICE,60 HOSPITAL ROAD,LEOMINSTER,MA,01453,42.520838,-71.770876,1557
c9b3c857-2e24-320c-a79a-87b8a60de63c,69176529-fd1f-3b3f-abce-a0a3626769eb,Suzette512 Monahan736,F,GENERAL PRACTICE,330 MOUNT AUBURN STREET,CAMBRIDGE,MA,02138,42.375967,-71.118275,2296
0359f968-d1a6-30eb-b1cc-e6cc0b4d3513,5e765f2b-e908-3888-9fc7-df2cb87beb58,Gaynell126 Streich926,F,GENERAL PRACTICE,211 PARK STREET,ATTLEBORO,MA,02703,41.931653,-71.294503,2287
446d1609-858f-3a54-8a52-0c4eacedd00e,f1fbcbfb-fcfa-3bd2-b7f4-df20f1b3c3a4,Patricia625 Salgado989,F,GENERAL PRACTICE,ONE GENERAL STREET,LAWRENCE,MA,01842,42.700273,-71.161357,1327
e6283e46-fd81-3611-9459-0edb1c3da357,e002090d-4e92-300e-b41e-7d1f21dee4c6,Jeanmarie510 Beatty507,F,GENERAL PRACTICE,1493 CAMBRIDGE STREET,CAMBRIDGE,MA,02138,42.375967,-71.118275,3199
77a7881d-6dd5-32e1-9e18-521a59749572,ef6ab57c-ed94-3dbe-9861-812d515918b3,Phillip440 McCullough561,M,GENERAL PRACTICE,88 LEWIS BAY ROAD,HYANNIS,MA,02601,41.748854,-70.74053599999998,1800
680f4af2-775d-34c4-b213-28791e0813e3,49318f80-bd8b-3fc7-a096-ac43088b0c12,Guadalupe206 Valenzuela371,F,GENERAL PRACTICE,30 LOCUST STREET,NORTHAMPTON,MA,01060,42.327044,-72.67463000000002,1641
a83b5619-bcec-3877-9a3e-cbd20c29e158,fbf6180e-b800-3ebe-b91d-93d0288c400e,Von197 Mraz590,M,GENERAL PRACTICE,164 HIGH STREET,GREENFIELD,MA,01301,42.614671,-72.597063,1098
00c9ef7a-2992-310a-a2bd-c7ca035e4ecf,8b58cdd1-3d79-3126-8fe0-da2c54d6805c,Terry864 Wiegand701,M,GENERAL PRACTICE,2100 DORCHESTER AVENUE,BOSTON,MA,02124,42.33196,-71.020173,369
c381c694-d45a-3cc1-a818-5b70c4511f7e,4bdaa4c2-c664-3089-aee2-7137abbad27f,Tiana543 Blick895,F,GENERAL PRACTICE,100 SOUTH STREET,SOUTHBRIDGE,MA,01550,42.059669,-72.03404,1413
326937ff-4a1a-3771-91cc-97a5dc9f34d0,ecc51621-0af3-3b35-ac3e-8b1e34022e92,Colby655 Schowalter414,F,GENERAL PRACTICE,795 MIDDLE STREET,FALL RIVER,MA,02721,41.725351,-71.094162,2225
af01a385-31d3-3c77-8fdb-2867fe88df2f,5d4b9df1-93ae-3bc9-b680-03249990e558,Garth972 Wyman904,M,GENERAL PRACTICE,575 BEECH STREET,HOLYOKE,MA,01040,42.211656,-72.642448,2585
798c4252-900f-3e21-8544-063a293a97d6,37b4d73f-652d-3033-a16e-d97b9e8b4cda,Leonor133 Nájera755,F,GENERAL PRACTICE,25 HIGHLAND AVENUE,NEWBURYPORT,MA,01950,42.812141,-70.886646,868
d6e216be-acb7-3c45-84b3-fc69e7714ca5,5844ad77-f653-3c2b-b7dd-e97576ab3b03,Devora529 Sipes176,F,GENERAL PRACTICE,40 WRIGHT STREET,PALMER,MA,01069,42.187794,-72.30846899999997,1077
01c46a24-703b-31a9-a1c7-a90278faa3c2,08bcda9c-f8c8-3244-82d4-fc306a7a55d3,Lynwood354 Monahan736,M,GENERAL PRACTICE,1 BOSTON MEDICAL CENTER PLACE,BOSTON,MA,02118,42.33196,-71.020173,84
8d0c1895-f59c-388a-bc6f-757dbf201ae6,37c0de84-bcaf-3624-82bf-a89b2ac441b8,Mari763 Reynolds644,F,GENERAL PRACTICE,85 HERRICK STREET,BEVERLY,MA,01915,42.556659,-70.84496,1222
b08f34d7-3c08-35b9-a2ba-b823511ebc57,4861d01f-019c-3dac-a153-8334e50919f9,Houston994 Osinski784,M,GENERAL PRACTICE,81 HIGHLAND AVENUE,SALEM,MA,01970,42.50128,-70.897502,1616
3b172b7b-6625-359e-8bbd-9d6bb9384ede,a0b6ec0c-e587-3b2a-bf9f-248849f29ee5,Benton624 Becker968,M,GENERAL PRACTICE,736 CAMBRIDGE STREET,BRIGHTON,MA,02135,42.33196,-71.020173,184
3f15c687-0cfe-3bf2-9e62-34f3c85ff3cb,4f3a530e-a2f7-3de0-9a09-c0a70a9ab894,Jesús825 Quiroz936,M,GENERAL PRACTICE,725 NORTH STREET,PITTSFIELD,MA,01201,42.452045,-73.26054,1643
1045937e-4c7c-3dee-81de-c8ed516c31ae,f71ce1a9-cca7-3295-9a1e-c88ac3479b6f,Jc393 Borer986,M,GENERAL PRACTICE,157 UNION STREET,MARLBOROUGH,MA,01752,42.349617,-71.547214,1299
32549af3-da1c-3fd3-ab66-625738f56d21,c44f361c-2efb-3050-8f97-0354a12e2920,Gertrudis163 Schaden604,F,GENERAL PRACTICE,680 CENTER STREET,BROCKTON,MA,02302,42.082543,-71.024638,1314
8ee28b4a-9018-3065-9f6b-0c9b69de7080,331f4c11-d298-308b-aaa1-d7825b29b57f,Malinda718 Cassin499,F,GENERAL PRACTICE,201 HIGHLAND STREET,CLINTON,MA,01510,42.411887,-71.690005,655
ad0b1c7f-8f5d-33b6-8e88-4b286f07d9a3,b1ddf812-1fdd-3adf-b1d5-32cc8bd07ebb,Hassan290 Rath779,M,GENERAL PRACTICE,275 SANDWICH STREET,PLYMOUTH,MA,02360,41.897892,-70.62403,1136
6c52fd14-a3b9-350f-b773-26ba530cc7fa,6be05ccf-ef94-341f-a2a3-1cf9bfde1b18,Wynell591 Wisozk929,F,GENERAL PRACTICE,107 LINCOLN STREET,WORCESTER,MA,01605,42.269478,-71.807783,279
58b66cc1-2b86-377f-ad77-ad8164388e50,b0e04623-b02c-3f8b-92ea-943fc4db60da,Veda284 Pfeffer420,F,GENERAL PRACTICE,295 VARNUM AVENUE,LOWELL,MA,01854,42.638893,-71.32210699999997,1811
eabb2bff-3216-34da-9f29-824dbca901c3,ebc3f5c4-6700-34af-8323-85621c313726,Óscar156 Mateo562,M,GENERAL PRACTICE,115 WEST SILVER STREET,WESTFIELD,MA,01085,42.138838,-72.755911,1006
1530e81b-106c-32d5-95d5-42a710c92068,fd328395-ab1d-35c6-a2d0-d05a9a79cf11,Wayne846 Mertz280,M,GENERAL PRACTICE,271 CAREW STREET,SPRINGFIELD,MA,01104,42.115454,-72.539978,821
f4eb93d1-9187-3cfb-83a4-6d9cd77f7df6,d692e283-0833-3201-8e55-4f868a9c0736,Vern731 Powlowski563,M,GENERAL PRACTICE,585 LEBANON STREET,MELROSE,MA,02176,42.455723,-71.05901899999998,4466
5a6d9b4e-cc30-3bf6-90df-e7588f8048f6,d78e84ec-30aa-3bba-a33a-f29a3a454662,Crista774 Keebler762,F,GENERAL PRACTICE,55 FRUIT STREET,BOSTON,MA,02114,42.33196,-71.020173,455
56c64467-dd8a-36ca-91c5-4c729475aa21,8ad64ecf-c817-3753-bee7-006a8e662e06,Brittani427 Satterfield305,F,GENERAL PRACTICE,88 WASHINGTON STREET,TAUNTON,MA,02780,41.903323,-71.094984,1682
